1740415588.912362 server started (1181760): version 3.2a, socket /tmp/tmux-1005/default, protocol 8
1740415588.912382 on Linux 6.8.0-52-generic #53~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Jan 15 19:18:46 UTC 2
1740415588.912388 using libevent 2.1.12-stable (poll); ncurses 6.3
1740415588.912519 input_key_build: 0x40000010e0a4 (S-F12) is \033[24;2~
1740415588.912520 input_key_build: 0x40000010e0a5 (S-IC) is \033[2;2~
1740415588.912521 input_key_build: 0x40000010e0a6 (S-DC) is \033[3;2~
1740415588.912522 input_key_build: 0x40000010e0a7 (S-Home) is \033[1;2H
1740415588.912523 input_key_build: 0x40000010e0a8 (S-End) is \033[1;2F
1740415588.912525 input_key_build: 0x40000010e0a9 (S-NPage) is \033[6;2~
1740415588.912526 input_key_build: 0x40000010e0aa (S-PPage) is \033[5;2~
1740415588.912527 input_key_build: 0x40000010e0ac (S-Up) is \033[1;2A
1740415588.912528 input_key_build: 0x40000010e0ad (S-Down) is \033[1;2B
1740415588.912529 input_key_build: 0x40000010e0ae (S-Left) is \033[1;2D
1740415588.912530 input_key_build: 0x40000010e0af (S-Right) is \033[1;2C
1740415588.912532 input_key_build: 0x60000010e099 (C-S-F1) is \033[1;6P
1740415588.912533 input_key_build: 0x60000010e09a (C-S-F2) is \033[1;6Q
1740415588.912534 input_key_build: 0x60000010e09b (C-S-F3) is \033[1;6R
1740415588.912535 input_key_build: 0x60000010e09c (C-S-F4) is \033[1;6S
1740415588.912536 input_key_build: 0x60000010e09d (C-S-F5) is \033[15;6~
1740415588.912539 input_key_build: 0x60000010e09e (C-S-F6) is \033[17;6~
1740415588.912540 input_key_build: 0x60000010e09f (C-S-F7) is \033[18;6~
1740415588.912541 input_key_build: 0x60000010e0a0 (C-S-F8) is \033[19;6~
1740415588.912542 input_key_build: 0x60000010e0a1 (C-S-F9) is \033[20;6~
1740415588.912543 input_key_build: 0x60000010e0a2 (C-S-F10) is \033[21;6~
1740415588.912545 input_key_build: 0x60000010e0a3 (C-S-F11) is \033[23;6~
1740415588.912546 input_key_build: 0x60000010e0a4 (C-S-F12) is \033[24;6~
1740415588.912547 input_key_build: 0x60000010e0a5 (C-S-IC) is \033[2;6~
1740415588.912548 input_key_build: 0x60000010e0a6 (C-S-DC) is \033[3;6~
1740415588.912550 input_key_build: 0x60000010e0a7 (C-S-Home) is \033[1;6H
1740415588.912551 input_key_build: 0x60000010e0a8 (C-S-End) is \033[1;6F
1740415588.912552 input_key_build: 0x60000010e0a9 (C-S-NPage) is \033[6;6~
1740415588.912553 input_key_build: 0x60000010e0aa (C-S-PPage) is \033[5;6~
1740415588.912554 input_key_build: 0x60000010e0ac (C-S-Up) is \033[1;6A
1740415588.912556 input_key_build: 0x60000010e0ad (C-S-Down) is \033[1;6B
1740415588.912557 input_key_build: 0x60000010e0ae (C-S-Left) is \033[1;6D
1740415588.912558 input_key_build: 0x60000010e0af (C-S-Right) is \033[1;6C
1740415588.912559 input_key_build: 0x200000010e0b0 (KP/[K]) is \033Oo
1740415588.912561 input_key_build: 0x200000010e0b1 (KP*[K]) is \033Oj
1740415588.912562 input_key_build: 0x200000010e0b2 (KP-[K]) is \033Om
